Filename,LowerCorner,UpperCorner
111_E_BUILD_94182076_0.gml,186507.994 2494420.258 0.0,189139.61 2497147.922 23.012
111_E_BUILD_94182077_0.gml,189112.337 2494374.045 0.0,191711.876 2497175.682 45.669
111_E_BUILD_94182078_0.gml,191696.879 2494776.097 0.0,192121.58 2497115.77 9.009
111_E_BUILD_94182083_0.gml,180134.552 2492146.677 0.0,181479.158 2493919.674 82.398
111_E_BUILD_94182084_0.gml,181391.536 2491630.454 0.0,184026.477 2494491.153 59.969
111_E_BUILD_94182085_0.gml,183457.537 2491617.138 0.0,186552.341 2495172.539 59.817
111_E_BUILD_94182086_0.gml,186955.853 2491605.043 0.0,189137.967 2494388.538 30.937
111_E_BUILD_94182086_1.gml,186517.417 2492798.285 0.0,189123.821 2494416.334 30.531
111_E_BUILD_94182087_0.gml,189073.078 2491613.938 0.0,191646.908 2494415.841 18.923
111_E_BUILD_94182094_0.gml,183401.071 2490465.668 0.0,183816.631 2490755.331 16.637
111_E_BUILD_94182095_0.gml,183968.192 2488855.609 0.0,186616.036 2491727.857 39.7
111_E_BUILD_94182095_1.gml,183967.547 2490210.648 0.0,184477.49 2490720.263 25.984
111_E_BUILD_94182096_0.gml,186516.898 2488846.576 0.0,189111.951 2491635.003 40.818
111_E_BUILD_94182096_1.gml,186525.032 2488856.026 0.0,189106.996 2491638.339 52.121
111_E_BUILD_94182096_2.gml,186457.659 2488849.082 0.0,189104.011 2491628.965 29.032
111_E_BUILD_94182097_0.gml,189079.738 2488826.914 0.0,189777.789 2491653.368 43.891
111_E_BUILD_94183010_0.gml,172123.822 2513948.489 0.0,173831.643 2516604.292 25.73
111_E_BUILD_94183010_1.gml,172127.424 2513896.89 0.0,173798.918 2516652.732 22.581
111_E_BUILD_94184037_0.gml,165565.434 2533248.849 0.0,166211.602 2535213.304 16.891
111_E_BUILD_94184038_0.gml,166180.19 2533232.696 0.0,168774.441 2535580.428 33.147
111_E_BUILD_94184038_1.gml,166843.023 2533270.185 0.0,168765.893 2535566.366 20.549
111_E_BUILD_94184039_0.gml,168746.297 2533224.01 0.0,171332.617 2534922.584 35.281
111_E_BUILD_94184039_1.gml,168756.691 2533614.108 0.0,171365.968 2534812.171 30.582
111_E_BUILD_94184040_0.gml,171288.427 2533188.949 0.0,172575.726 2533926.741 19.609
111_E_BUILD_94184047_0.gml,165933.797 2532618.391 0.0,166197.524 2533266.728 16.231
111_E_BUILD_94184048_0.gml,166179.799 2530473.79 0.0,168726.574 2533266.99 58.75
111_E_BUILD_94184048_1.gml,166187.562 2530615.308 0.0,168731.86 2533250.085 20.396
111_E_BUILD_94184049_0.gml,168745.024 2530466.911 0.0,171331.323 2533249.96 27.051
111_E_BUILD_94184050_0.gml,171290.229 2530416.331 0.0,173894.31 2533245.23 45.542
111_E_BUILD_94184050_1.gml,171306.265 2530414.689 0.0,173841.645 2533256.91 48.768
111_E_BUILD_94184058_0.gml,167059.325 2527736.742 0.0,168276.648 2530493.145 73.66
111_E_BUILD_94184059_0.gml,168736.305 2527689.341 0.0,171313.22 2530472.501 19.025
111_E_BUILD_94184060_0.gml,171289.614 2527631.701 0.0,173879.447 2530497.445 38.481
111_E_BUILD_94184060_1.gml,171282.467 2527674.205 0.0,173874.63 2530464.89 48.514
111_E_BUILD_94184068_0.gml,167672.432 2525217.328 0.0,168716.255 2527700.384 25.756
111_E_BUILD_94184069_0.gml,168710.406 2524928.693 0.0,171314.632 2527703.375 49.352
111_E_BUILD_94184070_0.gml,171277.511 2524906.808 0.0,173875.907 2527766.169 50.19
111_E_BUILD_94184078_0.gml,168477.253 2523207.194 0.0,168718.34 2524938.754 32786.777
111_E_BUILD_94184079_0.gml,168694.569 2522147.297 0.0,171282.845 2524935.051 24.79
111_E_BUILD_94184080_0.gml,171252.138 2522146.869 0.0,173868.462 2524926.417 36.982
111_E_BUILD_94184089_0.gml,169729.681 2519389.024 0.0,171265.431 2522167.804 18.186
111_E_BUILD_94184090_0.gml,171243.691 2519380.504 0.0,173230.066 2522168.699 26.34
111_E_BUILD_94184090_1.gml,171257.21 2519344.838 0.0,173832.563 2522146.572 16.891
111_E_BUILD_94184099_0.gml,170890.132 2518996.054 0.0,171233.465 2519391.903 6.452
111_E_BUILD_94184100_0.gml,171276.643 2516609.078 0.0,173819.891 2519398.523 19.101
111_E_BUILD_94192090_0.gml,198510.704 2547027.324 0.0,199584.7 2547083.147 3.988
111_E_BUILD_94192099_0.gml,194942.225 2544196.244 0.0,196307.675 2544761.212 10.516
111_E_BUILD_94192100_0.gml,197118.277 2544175.773 0.0,199574.34 2546936.145 14.072
111_E_BUILD_95181013_0.gml,231194.263 2540687.049 0.0,231341.832 2541215.362 6.223
111_E_BUILD_95181061_0.gml,227211.015 2527323.931 0.0,227219.099 2527334.832 13.36
111_E_BUILD_95184001_0.gml,199573.864 2541398.426 0.0,202114.198 2543753.128 54.864
